,,,,,,,
,0.0,,,,,,
,1E-02,1.099E-02,1.1995E-02,1.3002E-02,1.3996E-02,1.5996E-02,
,1.7989E-02,1.9999E-02,2.1979E-02,2.3988E-02,2.6002E-02,2.799E-02,
,2.9992E-02,3.1989E-02,3.3963E-02,3.5975E-02,3.8019E-02,3.9994E-02,
,4.1976E-02,4.3954E-02,4.6026E-02,4.7973E-02,5.0003E-02,5.2E-02,
,5.3951E-02,5.5976E-02,5.7943E-02,5.9979E-02,6.1944E-02,6.3973E-02,
,6.6069E-02,6.8077E-02,6.9984E-02,7.1945E-02,7.3961E-02,7.6033E-02,
,7.7983E-02,7.9983E-02,8.2035E-02,8.3946E-02,8.5901E-02,8.7902E-02,
,8.995E-02,9.2045E-02,9.3972E-02,9.594E-02,9.7949E-02,1E-01,
,1.0209E-01,1.0399E-01,1.0593E-01,1.0789E-01,1.099E-01,1.1194E-01,
,1.1402E-01,1.1588E-01,1.1803E-01,1.1995E-01,1.219E-01,1.2388E-01,
,1.2589E-01,1.2794E-01,1.3002E-01,1.3213E-01,1.3397E-01,1.3614E-01,
,1.3804E-01,1.3996E-01,1.4191E-01,1.4388E-01,1.4588E-01,1.4791E-01,
,1.4997E-01,1.5205E-01,1.5417E-01,1.5596E-01,1.5812E-01,1.5996E-01,
,1.6218E-01,1.6406E-01,1.6596E-01,1.6788E-01,1.6982E-01,1.7219E-01,
,1.7418E-01,1.7498E-01,1.7989E-01,1.8493E-01,1.9011E-01,1.9498E-01,
,1.9999E-01,2.0512E-01,2.0989E-01,2.1478E-01,2.1979E-01,2.2491E-01,
,2.3014E-01,2.3496E-01,2.3988E-01,2.4491E-01,2.5003E-01,2.5527E-01,
,2.6002E-01,2.6485E-01,2.6977E-01,2.7479E-01,2.799E-01,2.851E-01,
,2.8973E-01,2.9512E-01,2.9992E-01,3.0479E-01,3.0974E-01,3.1477E-01,
,3.1989E-01,3.2509E-01,3.3037E-01,3.3497E-01,3.3963E-01,3.4514E-01,
,3.4995E-01,3.5481E-01,3.5975E-01,3.6475E-01,3.6983E-01,3.7497E-01,
,3.8019E-01,3.8459E-01,3.8994E-01,3.9537E-01,3.9994E-01,4.0458E-01,
,4.102E-01,4.1495E-01,4.1976E-01,4.2462E-01,4.2954E-01,4.3451E-01,
,4.3954E-01,4.4463E-01,4.4978E-01,4.5499E-01,4.6026E-01,4.6452E-01,
,4.6989E-01,4.7534E-01,4.7973E-01,4.8529E-01,4.8978E-01,4.9545E-01,
,5.0003E-01,5.0466E-01,5.105E-01,5.1523E-01,5.2E-01,5.2481E-01,
,5.2966E-01,5.3456E-01,5.3951E-01,5.445E-01,5.4954E-01,5.5463E-01,
,5.5976E-01,5.6494E-01,5.7016E-01,5.7544E-01,5.7943E-01,5.8479E-01,
,5.902E-01,5.9566E-01,5.9979E-01,6.0534E-01,6.0954E-01,6.1518E-01,
,6.1944E-01,6.2517E-01,6.2951E-01,6.3533E-01,6.3973E-01,6.4565E-01,
,6.5013E-01,6.5464E-01,6.6069E-01,6.6527E-01,6.6988E-01,6.7453E-01,
,6.8077E-01,6.8549E-01,6.9024E-01,6.9502E-01,6.9984E-01,7.0469E-01,
,7.0958E-01,7.145E-01,7.1945E-01,7.2444E-01,7.2946E-01,7.3451E-01,
,7.3961E-01,7.4473E-01,7.4989E-01,7.5509E-01,7.6033E-01,7.656E-01,
,7.6913E-01,7.7446E-01,7.7983E-01,7.8524E-01,7.9068E-01,7.9433E-01,
,7.9983E-01,8.0538E-01,8.091E-01,8.147E-01,8.2035E-01,8.2414E-01,
,8.2985E-01,8.356E-01,8.3946E-01,8.4528E-01,8.4918E-01,8.5507E-01,
,8.5901E-01,8.6497E-01,8.7096E-01,8.7498E-01,8.7902E-01,8.8512E-01,
,8.892E-01,8.9536E-01,8.995E-01,9.0573E-01,9.0991E-01,9.1411E-01,
,9.2045E-01,9.247E-01,9.2897E-01,9.3541E-01,9.3972E-01,9.4406E-01,
,9.506E-01,9.5499E-01,9.594E-01,9.6605E-01,9.7051E-01,9.7499E-01,
,9.7949E-01,9.8401E-01,9.9083E-01,9.9541E-01,1E+00,1.0093E+00,
,1.0209E+00,1.0304E+00,1.0399E+00,1.0495E+00,1.0593E+00,1.0691E+00,
,1.0789E+00,1.0889E+00,1.099E+00,1.1092E+00,1.1194E+00,1.1298E+00,
,1.1402E+00,1.1508E+00,1.1588E+00,1.1695E+00,1.1803E+00,1.1912E+00,
,1.1995E+00,1.2106E+00,1.219E+00,1.2303E+00,1.2388E+00,1.2503E+00,
